message_id,channel_name,image_name,detected_objects,confidence_score,image_category
16506,Thequorachannel,16506.jpg,,0.0,other
16507,Thequorachannel,16507.jpg,"chair, chair, chair, chair, chair, chair, chair, chair",0.807,other
16508,Thequorachannel,16508.jpg,,0.0,other
16511,Thequorachannel,16511.jpg,"tv, person, chair, tv",0.825,lifestyle
16513,Thequorachannel,16513.jpg,,0.0,other
16514,Thequorachannel,16514.jpg,clock,0.298,other
16515,Thequorachannel,16515.jpg,,0.0,other
16516,Thequorachannel,16516.jpg,"potted plant, chair, potted plant, book, chair, potted plant",0.81,product_display
16517,Thequorachannel,16517.jpg,,0.0,other
16519,Thequorachannel,16519.jpg,,0.0,other
16520,Thequorachannel,16520.jpg,,0.0,other
16521,Thequorachannel,16521.jpg,"bed, person, person",0.555,lifestyle
16522,Thequorachannel,16522.jpg,person,0.904,lifestyle
16523,Thequorachannel,16523.jpg,,0.0,other
16524,Thequorachannel,16524.jpg,,0.0,other
16525,Thequorachannel,16525.jpg,,0.0,other
16527,Thequorachannel,16527.jpg,,0.0,other
16528,Thequorachannel,16528.jpg,"chair, chair, chair, chair, chair, chair, chair, chair, chair, chair, chair, chair, chair",0.732,other
16529,Thequorachannel,16529.jpg,"refrigerator, refrigerator",0.572,other
16530,Thequorachannel,16530.jpg,"tv, cell phone",0.472,product_display
16531,Thequorachannel,16531.jpg,,0.0,other
16532,Thequorachannel,16532.jpg,,0.0,other
16533,Thequorachannel,16533.jpg,"chair, chair, chair, chair, chair, chair, chair, chair",0.807,other
16535,Thequorachannel,16535.jpg,,0.0,other
16538,Thequorachannel,16538.jpg,,0.0,other
16542,Thequorachannel,16542.jpg,,0.0,other
16544,Thequorachannel,16544.jpg,,0.0,other
16547,Thequorachannel,16547.jpg,,0.0,other
16548,Thequorachannel,16548.jpg,"person, person, tv, tie",0.864,lifestyle
16550,Thequorachannel,16550.jpg,,0.0,other
16551,Thequorachannel,16551.jpg,"chair, chair, chair, chair, chair, chair, chair, chair, chair, chair, chair, chair, chair",0.732,other
16552,Thequorachannel,16552.jpg,"refrigerator, refrigerator",0.572,other
16553,Thequorachannel,16553.jpg,"tv, cell phone",0.472,product_display
16554,Thequorachannel,16554.jpg,,0.0,other
16555,Thequorachannel,16555.jpg,,0.0,other
16556,Thequorachannel,16556.jpg,"chair, chair, chair, chair, chair, chair, chair, chair",0.807,other
16557,Thequorachannel,16557.jpg,,0.0,other
16560,Thequorachannel,16560.jpg,,0.0,other
16561,Thequorachannel,16561.jpg,,0.0,other
16567,Thequorachannel,16567.jpg,,0.0,other
16568,Thequorachannel,16568.jpg,,0.0,other
16569,Thequorachannel,16569.jpg,,0.0,other
16571,Thequorachannel,16571.jpg,,0.0,other
16574,Thequorachannel,16574.jpg,,0.0,other
16576,Thequorachannel,16576.jpg,book,0.289,product_display
16577,Thequorachannel,16577.jpg,,0.0,other
16578,Thequorachannel,16578.jpg,,0.0,other
16579,Thequorachannel,16579.jpg,"chair, chair, chair, chair, chair, chair, chair, chair, chair, chair, chair, chair, chair",0.732,other
16580,Thequorachannel,16580.jpg,"refrigerator, refrigerator",0.572,other
16581,Thequorachannel,16581.jpg,"tv, cell phone",0.472,product_display
16582,Thequorachannel,16582.jpg,,0.0,other
16583,Thequorachannel,16583.jpg,,0.0,other
16584,Thequorachannel,16584.jpg,"chair, chair, chair, chair, chair, chair, chair, chair",0.807,other
16585,Thequorachannel,16585.jpg,,0.0,other
16587,Thequorachannel,16587.jpg,,0.0,other
16588,Thequorachannel,16588.jpg,clock,0.905,other
16589,Thequorachannel,16589.jpg,"person, person",0.868,lifestyle
16591,Thequorachannel,16591.jpg,,0.0,other
16594,Thequorachannel,16594.jpg,"person, person, laptop, potted plant, laptop, tv, person, person, person, chair, person, chair, laptop, chair, chair, chair, laptop, dining table, chair, chair, chair",0.84,lifestyle
16595,Thequorachannel,16595.jpg,"person, chair, chair, person, potted plant, person, person, laptop, chair, laptop, chair, chair, dining table, chair, person, person, tv, chair, chair, chair",0.885,lifestyle
16596,Thequorachannel,16596.jpg,,0.0,other
16597,Thequorachannel,16597.jpg,clock,0.449,other
16598,Thequorachannel,16598.jpg,,0.0,other
16599,Thequorachannel,16599.jpg,"person, parking meter, cell phone",0.906,promotional
16600,Thequorachannel,16600.jpg,"cell phone, person, cell phone",0.888,promotional
16601,Thequorachannel,16601.jpg,"cell phone, person, cell phone",0.927,promotional
16602,Thequorachannel,16602.jpg,"person, cup, potted plant, cell phone, person, person, person, vase",0.885,promotional
16603,Thequorachannel,16603.jpg,"person, person, cell phone",0.839,promotional
16607,Thequorachannel,16607.jpg,,0.0,other
16611,Thequorachannel,16611.jpg,,0.0,other
196105,TikvahPharma,196105.jpg,,0.0,other
196108,TikvahPharma,196108.jpg,,0.0,other
196109,TikvahPharma,196109.jpg,,0.0,other
196111,TikvahPharma,196111.jpg,,0.0,other
196131,TikvahPharma,196131.jpg,,0.0,other
196132,TikvahPharma,196132.jpg,,0.0,other
196134,TikvahPharma,196134.jpg,bowl,0.364,product_display
196141,TikvahPharma,196141.jpg,"laptop, laptop, tv, person, tv, person, keyboard",0.952,lifestyle
196142,TikvahPharma,196142.jpg,laptop,0.709,other
196157,TikvahPharma,196157.jpg,"bowl, book",0.424,product_display
196164,TikvahPharma,196164.jpg,book,0.278,product_display
196165,TikvahPharma,196165.jpg,,0.0,other
196166,TikvahPharma,196166.jpg,,0.0,other
196167,TikvahPharma,196167.jpg,book,0.347,product_display
196169,TikvahPharma,196169.jpg,book,0.251,product_display
196170,TikvahPharma,196170.jpg,,0.0,other
196172,TikvahPharma,196172.jpg,,0.0,other
196177,TikvahPharma,196177.jpg,"laptop, laptop, tv, person, tv, person, keyboard",0.952,lifestyle
196178,TikvahPharma,196178.jpg,laptop,0.709,other
196181,TikvahPharma,196181.jpg,,0.0,other
196185,TikvahPharma,196185.jpg,,0.0,other
196189,TikvahPharma,196189.jpg,,0.0,other
196198,TikvahPharma,196198.jpg,,0.0,other
196199,TikvahPharma,196199.jpg,,0.0,other
196207,TikvahPharma,196207.jpg,"laptop, laptop, tv, person, tv, person, keyboard",0.952,lifestyle
196211,TikvahPharma,196211.jpg,"bowl, book",0.424,product_display
196224,TikvahPharma,196224.jpg,,0.0,other
196225,TikvahPharma,196225.jpg,,0.0,other
196246,TikvahPharma,196246.jpg,"laptop, laptop, tv, person, tv, person, keyboard",0.952,lifestyle
196247,TikvahPharma,196247.jpg,laptop,0.709,other
196268,TikvahPharma,196268.jpg,bowl,0.364,product_display
196269,TikvahPharma,196269.jpg,,0.0,other
196270,TikvahPharma,196270.jpg,,0.0,other
196271,TikvahPharma,196271.jpg,refrigerator,0.336,other
196286,TikvahPharma,196286.jpg,"book, toothbrush",0.334,product_display
196288,TikvahPharma,196288.jpg,bowl,0.364,product_display
196295,TikvahPharma,196295.jpg,"person, sports ball",0.392,promotional
196310,TikvahPharma,196310.jpg,,0.0,other
196311,TikvahPharma,196311.jpg,,0.0,other
196312,TikvahPharma,196312.jpg,refrigerator,0.336,other
196313,TikvahPharma,196313.jpg,laptop,0.709,other
196327,TikvahPharma,196327.jpg,,0.0,other
196337,TikvahPharma,196337.jpg,,0.0,other
196338,TikvahPharma,196338.jpg,,0.0,other
196339,TikvahPharma,196339.jpg,refrigerator,0.336,other
196340,TikvahPharma,196340.jpg,laptop,0.709,other
196343,TikvahPharma,196343.jpg,,0.0,other
196344,TikvahPharma,196344.jpg,"tv, microwave, clock",0.695,other
